bee,bee_family,bee_rank,plant,plant_common_name,plant_family,source_backed_rows,near_local_rows,within150_rows,direct_visit_feeding_rows,general_association_rows,weak_nearby_rows,interaction_types,top_localities
Macrotera crassa,Andrenidae,species,Opuntia,prickly pear,Cactaceae,74,0,3,0,74,0,interactsWith:74,Sonora:71; Harper:3
Macrotera crassa,Andrenidae,species,Opuntia phaeacantha major,,Cactaceae,6,5,6,0,6,0,interactsWith:6,"Luckenbach, 7 mi SE:5; Junction, 6 mi N:1"
Macrotera robertsi,Andrenidae,species,Opuntia phaeacantha major,,Cactaceae,1,0,1,0,1,0,interactsWith:1,"Menard, 14 mi S:1"
Macrotera texana,Andrenidae,species,Opuntia,prickly pear,Cactaceae,52,0,0,0,52,0,interactsWith:52,Sonora:52
Macrotera texana,Andrenidae,species,Opuntia phaeacantha major,,Cactaceae,9,0,9,0,9,0,interactsWith:9,"Menard, 14 mi S:8; Junction, 6 mi N:1"
Megachile,Megachilidae,genus,Castilleja,,Orobanchaceae,3,3,3,0,3,0,interactsWith:3,Cibolo Creek:3
Megachile,Megachilidae,genus,Helianthus annuus,common sunflower,Asteraceae,4,4,4,0,4,0,interactsWith:4,
Megachile,Megachilidae,genus,Oncidium ensatum,,Orchidaceae,2,2,2,0,2,0,interactsWith:2,
Megachile,Megachilidae,genus,Phacelia,phacelia,Hydrophyllaceae,1,0,0,0,1,0,interactsWith:1,Sonora:1
Megachile,Megachilidae,genus,Ratibida columnifera,Mexican hat / upright prairie coneflower,Asteraceae,4,4,4,0,4,0,interactsWith:4,
Megachile,Megachilidae,genus,Silphium asteriscus var. simpsonii,,Asteraceae,4,4,4,0,4,0,interactsWith:4,
Megachile,Megachilidae,genus,Viguiera dentata,toothleaf goldeneye,Asteraceae,1,1,1,1,0,0,eats:1,
Megachile addenda,Megachilidae,species,Penstemon,beardtongue,Plantaginaceae,3,3,3,0,3,0,interactsWith:3,Bastrop State Park:3
Megachile addenda,Megachilidae,species,Tephrosia virginiana,goat’s-rue,Fabaceae,14,14,14,0,14,0,interactsWith:14,McDade:14
Megachile agustini,Megachilidae,species,Marrubium vulgare,horehound,Lamiaceae,2,0,2,0,2,0,interactsWith:2,Kerrville:2
Megachile altbitarsis,,unknown,Croton monanthogynus,one-seed croton / prairie tea,Euphorbiaceae,2,2,2,0,2,0,interactsWith:2,
Megachile altbitarsis,,unknown,Silphium asteriscus var. simpsonii,,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Megachile amica,Megachilidae,species,Phacelia,phacelia,Hydrophyllaceae,1,0,1,0,1,0,interactsWith:1,"Concan, 8 mi S:1"
Megachile brevis,Megachilidae,species,Brazoria truncata,,Lamiaceae,3,0,3,0,3,0,interactsWith:3,Goliad:3
Megachile brevis,Megachilidae,species,Gaillardia suavis,perfumeball / pincushion daisy,Asteraceae,1,0,1,0,1,0,interactsWith:1,Harper:1
Megachile brevis,Megachilidae,species,Lupinus,lupine / bluebonnet group,Fabaceae,9,0,0,0,9,0,interactsWith:9,Christoval:9
Megachile brevis,Megachilidae,species,Marrubium vulgare,horehound,Lamiaceae,2,0,2,0,2,0,interactsWith:2,Kerrville:2
Megachile brevis,Megachilidae,species,Monarda citriodora,lemon beebalm / lemon horsemint,Lamiaceae,2,2,2,0,2,0,interactsWith:2,
Megachile brevis,Megachilidae,species,Monarda punctata,spotted beebalm,Lamiaceae,1,1,1,0,1,0,interactsWith:1,Sayers Rd:1
Megachile brevis,Megachilidae,species,Nepeta cataria,catnip,Lamiaceae,2,0,2,0,2,0,interactsWith:2,Kerrville:2
Megachile brevis,Megachilidae,species,Pediomelum rhombifolium,,Fabaceae,1,1,1,0,1,0,interactsWith:1,Sayers Rd:1
Megachile brevis,Megachilidae,species,Phacelia,phacelia,Hydrophyllaceae,2,0,2,0,2,0,interactsWith:2,Kerrville:2
Megachile brevis,Megachilidae,species,Phyla nodiflora,,Verbenaceae,2,2,2,0,2,0,interactsWith:2,Austin:2
Megachile brevis,Megachilidae,species,Salix,willow,Salicaceae,1,0,1,0,1,0,interactsWith:1,Karnes City:1
Megachile campanulae,Megachilidae,species,Monarda punctata,spotted beebalm,Lamiaceae,1,1,1,0,1,0,interactsWith:1,Bastrop State Park:1
Megachile comata,Megachilidae,species,Callirhoe,winecup / poppymallow,Malvaceae,1,0,1,0,1,0,interactsWith:1,Harper:1
Megachile comata,Megachilidae,species,Cirsium texanum,Texas thistle,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Megachile comata,Megachilidae,species,Monarda citriodora,lemon beebalm / lemon horsemint,Lamiaceae,2,2,2,0,2,0,interactsWith:2,
Megachile comata,Megachilidae,species,Oncidium ensatum,,Orchidaceae,2,2,2,0,2,0,interactsWith:2,
Megachile comata,Megachilidae,species,Ratibida columnifera,Mexican hat / upright prairie coneflower,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Megachile comata,Megachilidae,species,Salvia,,Lamiaceae,1,0,1,0,1,0,interactsWith:1,Kerrville:1
