bee,bee_family,bee_rank,plant,plant_common_name,plant_family,source_backed_rows,near_local_rows,within150_rows,direct_visit_feeding_rows,general_association_rows,weak_nearby_rows,interaction_types,top_localities
Melissodes tepaneca,Apidae,species,Phacelia,phacelia,Hydrophyllaceae,24,0,24,0,24,0,interactsWith:24,"Kerrville:11; Concan, 8 mi S:11; Kerrville, 10 mi N:2"
Melissodes tepaneca,Apidae,species,Ratibida columnifera,Mexican hat / upright prairie coneflower,Asteraceae,14,14,14,0,14,0,interactsWith:14,
Melissodes tepaneca,Apidae,species,Rudbeckia hirta,black-eyed Susan,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Melissodes tepaneca,Apidae,species,Silphium asteriscus var. simpsonii,,Asteraceae,6,6,6,0,6,0,interactsWith:6,
Melissodes tepaneca,Apidae,species,Sisyrinchium campestre,,Iridaceae,2,0,2,0,2,0,interactsWith:2,Harper:2
Melissodes tepaneca,Apidae,species,Vitex,vitex / chaste tree group,Lamiaceae,1,1,1,0,1,0,interactsWith:1,"Georgetown, 5 mi S:1"
Melissodes tristis,Apidae,species,Aster,aster,Asteraceae,1,0,0,0,1,0,interactsWith:1,Sonora:1
Melissodes tristis,Apidae,species,Bahia,,Asteraceae,9,0,9,0,9,0,interactsWith:9,Davis Mountains:9
Melissodes tristis,Apidae,species,Cirsium,thistle,Asteraceae,5,1,1,0,5,0,interactsWith:5,Sonora:4; Austin:1
Melissodes tristis,Apidae,species,Dalea lasiathera,,Fabaceae,1,0,0,0,1,0,interactsWith:1,Sonora:1
Melissodes tristis,Apidae,species,Dalea pogonathera,,Fabaceae,17,0,17,0,17,0,interactsWith:17,"Ft. Davis, 46 mi NE:17"
Melissodes tristis,Apidae,species,Gaillardia suavis,perfumeball / pincushion daisy,Asteraceae,3,0,3,0,3,0,interactsWith:3,"Harper:2; Kerrville, 10 mi N:1"
Melissodes tristis,Apidae,species,Gaura,,Onagraceae,2,0,0,0,2,0,interactsWith:2,Quemado:2
Melissodes tristis,Apidae,species,Haplopappus,,Asteraceae,2,0,2,0,2,0,interactsWith:2,"Ft. Davis, 41 mi NE:2"
Melissodes tristis,Apidae,species,Helianthus annuus,common sunflower,Asteraceae,4,0,4,0,4,0,interactsWith:4,"Ft. Davis, 47 mi NE:4"
Melissodes tristis,Apidae,species,Mimosa borealis,,Fabaceae,1,0,1,0,1,0,interactsWith:1,Harper:1
Melissodes tristis,Apidae,species,Opuntia,prickly pear,Cactaceae,16,0,12,0,16,0,interactsWith:16,"Davis Mountains:12; Del Rio, 23 mi S:4"
Melissodes tristis,Apidae,species,Papaver,,Papaveraceae,1,0,1,0,1,0,interactsWith:1,Davis Mountains:1
Melissodes tristis,Apidae,species,Parkinsonia,palo verde group,Fabaceae,2,0,2,0,2,0,interactsWith:2,"Mason, 10 mi N:1; Sabinal:1"
Melissodes tristis,Apidae,species,Phacelia,phacelia,Hydrophyllaceae,43,0,35,0,43,0,interactsWith:43,"Concan, 8 mi S:33; Sonora:8; Kerrville, 10 mi N:2"
Melissodes tristis,Apidae,species,Pinaropappus roseus,,Asteraceae,6,0,6,0,6,0,interactsWith:6,United States of America:6
Melissodes tristis,Apidae,species,Salix,willow,Salicaceae,1,0,1,0,1,0,interactsWith:1,Davis Mountains:1
Melissodes tristis,Apidae,species,Salvia ballotaeflora,,Lamiaceae,4,0,4,0,4,0,interactsWith:4,United States of America:4
Melissodes tristis,Apidae,species,Salvia farinacea,mealy blue sage,Lamiaceae,16,0,16,0,16,0,interactsWith:16,United States of America:16
Melissodes tristis,Apidae,species,Sphaeralcea,,Malvaceae,36,0,19,0,36,0,interactsWith:36,Sonora:17; Davis Mountains:14; Harper:5
Melissodes tristis,Apidae,species,Zinnia grandiflora,,Asteraceae,2,0,0,0,2,0,interactsWith:2,Sonora:2
Melissodes wheeleri,Apidae,species,Coreopsis,tickseed,Asteraceae,2,2,2,0,2,0,interactsWith:2,Bastrop:2
Melissodes wheeleri,Apidae,species,Dalea,,Fabaceae,1,1,1,0,1,0,interactsWith:1,McDade:1
Melissodes wheeleri,Apidae,species,Ratibida columnifera,Mexican hat / upright prairie coneflower,Asteraceae,1,1,1,0,1,0,interactsWith:1,Bastrop:1
Melissodes wheeleri,Apidae,species,Rudbeckia hirta,black-eyed Susan,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Melissoptila otomita,Apidae,species,Solanum elaeagnifolium,silverleaf nightshade,Solanaceae,2,2,2,0,2,0,interactsWith:2,
Nomada,Apidae,genus,Salix,willow,Salicaceae,1,0,1,0,1,0,interactsWith:1,Karnes City:1
Nomada texana,Apidae,species,Asteraceae,sunflower family,Asteraceae,1,0,1,0,1,0,interactsWith:1,Salado Creek:1
Nomia fedorensis,Halictidae,species,Tephrosia virginiana,goat’s-rue,Fabaceae,1,1,1,0,1,0,interactsWith:1,McDade:1
Nomia nortoni,Halictidae,species,Marrubium vulgare,horehound,Lamiaceae,1,1,1,0,1,0,interactsWith:1,Maxwell:1
Nomia nortoni nortoni,Halictidae,subspecies,Cirsium altissimum,,Asteraceae,1,1,1,0,1,0,interactsWith:1,Austin:1
Nomia nortoni nortoni,Halictidae,subspecies,Helenium autumnale,common sneezeweed,Asteraceae,3,3,3,0,3,0,interactsWith:3,Johnson City:3
Osmia chalybea,Megachilidae,species,Cirsium texanum,Texas thistle,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Osmia coloradensis,Megachilidae,species,Senecio,,Asteraceae,11,11,11,0,11,0,interactsWith:11,Palmetto State Park:11
Osmia georgica,Megachilidae,species,Senecio,,Asteraceae,1,1,1,0,1,0,interactsWith:1,Palmetto State Park:1
Osmia ribifloris,Megachilidae,species,Cercis canadensis,,Fabaceae,1,1,1,0,1,0,interactsWith:1,"Austin, Red Bud Isle:1"
Osmia ribifloris ribifloris,Megachilidae,subspecies,Fabaceae,,Fabaceae,1,0,1,0,1,0,interactsWith:1,
Osmia subfasciata,Megachilidae,species,Monarda citriodora,lemon beebalm / lemon horsemint,Lamiaceae,10,10,10,0,10,0,interactsWith:10,
Osmia subfasciata,Megachilidae,species,Oncidium ensatum,,Orchidaceae,2,2,2,0,2,0,interactsWith:2,
Osmia subfasciata subfasciata,Megachilidae,subspecies,Astragalus,,Fabaceae,1,0,1,0,1,0,interactsWith:1,Cherry Spring:1
Osmia subfasciata subfasciata,Megachilidae,subspecies,Brazoria truncata,,Lamiaceae,25,0,25,0,25,0,interactsWith:25,"Goliad, 16 mi E:15; Goliad:10"
Osmia subfasciata subfasciata,Megachilidae,subspecies,Phacelia,phacelia,Hydrophyllaceae,13,0,13,0,13,0,interactsWith:13,"Kerrville:10; Cherry Spring:2; Kerrville, 8 mi NW:1"
Osmia subfasciata subfasciata,Megachilidae,subspecies,Phacelia coerulea,,Hydrophyllaceae,1,0,1,0,1,0,interactsWith:1,"Goliad, 2 mi W:1"
Osmia texana,Megachilidae,species,Cirsium,thistle,Asteraceae,10,0,4,0,10,0,interactsWith:10,Sonora:6; Harper:4
Osmia texana,Megachilidae,species,Gaillardia suavis,perfumeball / pincushion daisy,Asteraceae,1,0,1,0,1,0,interactsWith:1,"Kerrville, 10 mi N:1"
Osmia texana,Megachilidae,species,Plectocephalus americanus,,Asteraceae,1,0,1,0,1,0,interactsWith:1,Weser:1
Osmia texana,Megachilidae,species,Salvia farinacea,mealy blue sage,Lamiaceae,4,0,4,0,4,0,interactsWith:4,United States of America:4
Panurgini,Andrenidae,tribe,Coreopsis,tickseed,Asteraceae,2,2,2,0,2,0,interactsWith:2,"New Braunfels, 15 mi NW:2"
Panurgini,Andrenidae,tribe,Quincula lobata,,Solanaceae,1,1,1,0,1,0,interactsWith:1,"Palo Duro Canyon, 22 min S Claude:1"
Panurgini,Andrenidae,tribe,Rudbeckia,,Asteraceae,1,1,1,0,1,0,interactsWith:1,"Blanco, 8 mi E:1"
Panurginus,Andrenidae,genus,Medicago minima,,Fabaceae,2,0,2,0,2,0,interactsWith:2,Harper:2
Peponapis pruinosa,Apidae,species,Cucurbitaceae,,Cucurbitaceae,1,1,1,1,0,0,visitsFlowersOf:1,
Peponapis pruinosa,Apidae,species,Silphium asteriscus var. simpsonii,,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Perdita,Andrenidae,genus,Larrea tridentata,creosote bush,Zygophyllaceae,2,0,2,0,2,0,interactsWith:2,"Balmorhea, 7 km E:2"
Perdita,Andrenidae,genus,Quincula lobata,,Solanaceae,6,0,0,0,6,0,interactsWith:6,"Del Rio, 31 km SE:6"
Perdita (Hexaperdita) ignota isopappi x crawfordi,Andrenidae,unknown,Bradburia pilosa,,Asteraceae,96,0,96,0,96,0,interactsWith:96,"Lexington, 7 mi N:96"
Perdita (Hexaperdita) ignota isopappi x crawfordi,Andrenidae,unknown,Haplopappus,,Asteraceae,10,0,10,0,10,0,interactsWith:10,"Ft. Davis, 47 mi NE:10"
Perdita (Macrotera) texana texana,Andrenidae,unknown,Opuntia,prickly pear,Cactaceae,4,4,4,0,4,0,interactsWith:4,Bastrop:4
Perdita ashmeadi vierecki,Andrenidae,subspecies,Prosopis glandulosa,honey mesquite,Fabaceae,4,0,0,0,4,0,interactsWith:4,"Del Rio, 16 mi SE:4"
Perdita deltophora,Andrenidae,species,Chamaesaracha,,Solanaceae,1,0,1,0,1,0,interactsWith:1,Davis Mountains:1
Perdita deltophora,Andrenidae,species,Quincula lobata,,Solanaceae,1,0,0,0,1,0,interactsWith:1,Quemado:1
Perdita exclamans,Andrenidae,species,Prosopis glandulosa,honey mesquite,Fabaceae,1,0,0,0,1,0,interactsWith:1,"Del Rio, 16 mi SE:1"
Perdita foveata brachycephala,Andrenidae,subspecies,Brazoria truncata,,Lamiaceae,12,0,12,0,12,0,interactsWith:12,"Goliad, 16 mi E:12"
Perdita ignota crawfordi,Andrenidae,subspecies,Bradburia pilosa,,Asteraceae,53,0,53,0,53,0,interactsWith:53,"Lexington, 6 mi S:47; Lexington, 7 mi N:6"
Perdita ignota crawfordi,Andrenidae,subspecies,Symphyotrichum subulatum,annual saltmarsh aster,Asteraceae,40,0,40,0,40,0,interactsWith:40,Flatonia:40
Perdita ignota isopappi,Andrenidae,subspecies,Haplopappus,,Asteraceae,28,0,28,0,28,0,interactsWith:28,Flatonia:28
Perdita missionis,Andrenidae,species,Quincula lobata,,Solanaceae,7,0,0,0,7,0,interactsWith:7,Quemado:7
Perdita munita,Andrenidae,species,Solanum,,Solanaceae,2,0,2,0,2,0,interactsWith:2,Davis Mountains:2
Perdita nigroviridis,Andrenidae,species,Simsia calva,,Asteraceae,14,0,14,0,14,0,interactsWith:14,"Uvalde, 20 mi W:14"
Perdita pedernalensis,Andrenidae,species,Houstonia humifusa,,Rubiaceae,5,5,5,0,5,0,interactsWith:5,United States of America:4; Pedernales Falls State Park:1
Perdita pratti,Andrenidae,species,Helianthus debilis,,Asteraceae,15,0,15,0,15,0,interactsWith:15,Goliad:15
Perdita purpurascens,Andrenidae,species,Brazoria truncata,,Lamiaceae,1,0,1,0,1,0,interactsWith:1,"Goliad, 16 mi E:1"
Perdita purpurascens,Andrenidae,species,Helianthus annuus,common sunflower,Asteraceae,5,5,5,0,5,0,interactsWith:5,Elgin:5
Perdita scopata,Andrenidae,species,Helianthus debilis,,Asteraceae,2,0,2,0,2,0,interactsWith:2,Goliad:2
Perdita sexmaculata,Andrenidae,species,Larrea tridentata,creosote bush,Zygophyllaceae,8,0,8,0,8,0,interactsWith:8,"Balmorhea, 7 km E:8"
Perdita sexmaculata,Andrenidae,species,Solanum,,Solanaceae,4,0,4,0,4,0,interactsWith:4,Davis Mountains:4
Perdita xanthisma,Andrenidae,species,Bradburia pilosa,,Asteraceae,30,0,30,0,30,0,interactsWith:30,"Lexington, 7 mi N:30"
Protandrena (Pterosarus),Andrenidae,unknown,Coreopsis,tickseed,Asteraceae,3,3,3,0,3,0,interactsWith:3,"New Braunfels, 15 mi NW:3"
Protandrena (Pterosarus) albitarsis porterae,Andrenidae,unknown,Berlandiera,,Asteraceae,1,0,1,0,1,0,interactsWith:1,Manheim:1
Protandrena abdominalis,Andrenidae,species,Brazoria truncata,,Lamiaceae,5,0,5,0,5,0,interactsWith:5,"Goliad, 16 mi E:5"
Protandrena abdominalis,Andrenidae,species,Dalea aurea,,Fabaceae,3,0,3,0,3,0,interactsWith:3,Goliad:3
Protandrena abdominalis,Andrenidae,species,Pediomelum rhombifolium,,Fabaceae,1,1,1,0,1,0,interactsWith:1,Sayers Rd:1
Protandrena mexicanorum,Andrenidae,species,Phacelia,phacelia,Hydrophyllaceae,1,0,0,0,1,0,interactsWith:1,Sonora:1
Protandrena ornatipes,Andrenidae,species,Coreopsis,tickseed,Asteraceae,4,4,4,0,4,0,interactsWith:4,Johnson City:4
Protandrena ornatipes,Andrenidae,species,Haplopappus,,Asteraceae,2,0,2,0,2,0,interactsWith:2,"Ft. Davis, 41 mi NE:2"
Protandrena ornatipes,Andrenidae,species,Helenium autumnale,common sneezeweed,Asteraceae,1,1,1,0,1,0,interactsWith:1,Johnson City:1
Protandrena ornatipes,Andrenidae,species,Lindheimera texana,,Compositae,1,0,1,0,1,0,interactsWith:1,Concan:1
Protandrena ornatipes,Andrenidae,species,Parkinsonia,palo verde group,Fabaceae,1,0,1,0,1,0,interactsWith:1,"Concan, 8 mi S:1"
Protandrena texana,Andrenidae,species,Teucrium laciniatum,,Lamiaceae,1,0,1,0,1,0,interactsWith:1,Cherry Spring:1
Pseudopanurgus aethiops,Andrenidae,species,Helianthus annuus,common sunflower,Asteraceae,2,0,2,0,2,0,interactsWith:2,"Ft. Davis, 47 mi NE:2"
Pseudopanurgus albitarsis,Andrenidae,species,Baccharis,baccharis,Asteraceae,2,0,2,0,2,0,interactsWith:2,Leon Creek:2
Pseudopanurgus albitarsis,Andrenidae,species,Coreopsis tinctoria,plains coreopsis,Asteraceae,2,0,2,0,2,0,interactsWith:2,San Antonio:2
Pseudopanurgus albitarsis,Andrenidae,species,Rudbeckia hirta,black-eyed Susan,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Pseudopanurgus ornatipes,Andrenidae,species,Rudbeckia hirta,black-eyed Susan,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Pseudopanurgus renimaculatus,Andrenidae,species,Baccharis,baccharis,Asteraceae,2,0,2,0,2,0,interactsWith:2,"San Antonio, Loop 13:2"
Pseudopanurgus rugosus,Andrenidae,species,Pontederia cordata,,Pontederiaceae,2,2,2,0,2,0,interactsWith:2,Bastrop:2
Pseudopanurgus texanus,Andrenidae,species,Chaetopappa asteroides,,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Sphecodes,Halictidae,genus,Dalea pogonathera,,Fabaceae,1,0,0,0,1,0,interactsWith:1,Quemado:1
Sphecodes (Sphecodium),Halictidae,unknown,Rhus aromatica,fragrant sumac,Anacardiaceae,3,3,3,0,3,0,interactsWith:3,"Austin, 15 mi W:3"
Sphecodes (Sphecodium),Halictidae,unknown,Salix,willow,Salicaceae,6,2,6,0,6,0,interactsWith:6,Lexington:3; Luling:2; Rockdale:1
Sphecodes minor,Halictidae,species,Rhus,,Anacardiaceae,1,1,1,0,1,0,interactsWith:1,"Austin, 15 mi W:1"
Sphecodosoma beameri,Halictidae,species,Nama hispida,,Namaceae,12,0,0,0,12,0,interactsWith:12,United States of America:12
Stelis diversicolor,Megachilidae,species,Rudbeckia hirta,black-eyed Susan,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Svastra grandissima,Apidae,species,Verbesina encelioides,,Asteraceae,1,0,1,0,1,0,interactsWith:1,"Kenedy, Novias, 3 mi S:1"
Svastra obliqua,Apidae,species,Helianthus annuus,common sunflower,Asteraceae,6,6,6,0,6,0,interactsWith:6,
Svastra obliqua obliqua,Apidae,subspecies,Teucrium,,Lamiaceae,1,0,1,0,1,0,interactsWith:1,Weser:1
Svastra petulca,Apidae,species,Coreopsis basalis,goldenmane tickseed,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Svastra petulca,Apidae,species,Helenium amarum var. badium,bitter sneezeweed,Asteraceae,24,24,24,0,24,0,interactsWith:24,
Svastra petulca,Apidae,species,Monarda citriodora,lemon beebalm / lemon horsemint,Lamiaceae,4,4,4,0,4,0,interactsWith:4,
Svastra petulca,Apidae,species,Oncidium ensatum,,Orchidaceae,10,10,10,0,10,0,interactsWith:10,
Svastra petulca,Apidae,species,Ratibida columnifera,Mexican hat / upright prairie coneflower,Asteraceae,18,18,18,0,18,0,interactsWith:18,
Svastra petulca,Apidae,species,Rudbeckia hirta,black-eyed Susan,Asteraceae,12,12,12,0,12,0,interactsWith:12,
Svastra petulca suffusa,Apidae,subspecies,Phacelia,phacelia,Hydrophyllaceae,16,0,16,0,16,0,interactsWith:16,"Kerrville, 10 mi N:16"
Svastra petulca suffusa,Apidae,subspecies,Ratibida columnifera,Mexican hat / upright prairie coneflower,Asteraceae,69,41,69,0,69,0,interactsWith:69,"Bastrop:41; Weser:22; Goliad, 16 mi E:6"
Svastra petulca suffusa,Apidae,subspecies,Rudbeckia,,Asteraceae,1,0,1,0,1,0,interactsWith:1,Lexington:1
Tetraloniella spissa,Apidae,species,Helianthus annuus,common sunflower,Asteraceae,1,0,1,0,1,0,interactsWith:1,"Ft. Davis, 47 mi NE:1"
Thoracobombus,Apidae,subgenus,Cephalanthus,buttonbush,Rubiaceae,1,0,1,1,0,0,visitsFlowersOf:1,
Thoracobombus,Apidae,subgenus,Tecoma stans,,Bignoniaceae,1,0,1,1,0,0,visitsFlowersOf:1,
Triepeolus concavus,Apidae,species,Croton monanthogynus,one-seed croton / prairie tea,Euphorbiaceae,2,2,2,0,2,0,interactsWith:2,
Triepeolus lunatus,Apidae,species,Pinaropappus roseus,,Asteraceae,2,0,2,0,2,0,interactsWith:2,United States of America:2
Triepeolus rhododontus,Apidae,species,Marrubium vulgare,horehound,Lamiaceae,4,0,4,0,4,0,interactsWith:4,United States of America:4
Triepeolus rufoclypeus,Apidae,species,Helenium amarum,,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Triepeolus rufoclypeus,Apidae,species,Oncidium ensatum,,Orchidaceae,2,2,2,0,2,0,interactsWith:2,
Xeromelecta californica,Apidae,species,Marrubium vulgare,horehound,Lamiaceae,2,0,2,0,2,0,interactsWith:2,United States of America:2
Xeromelecta californica,Apidae,species,Pinaropappus roseus,,Asteraceae,2,0,2,0,2,0,interactsWith:2,United States of America:2
Xylocopa,Apidae,genus,Opuntia engelmannii,Engelmann prickly pear,Cactaceae,2,2,2,0,2,0,interactsWith:2,
Xylocopa,Apidae,genus,Solanum elaeagnifolium,silverleaf nightshade,Solanaceae,2,2,2,0,2,0,interactsWith:2,
Xylocopa californica,Apidae,species,Salvia farinacea,mealy blue sage,Lamiaceae,2,0,2,0,2,0,interactsWith:2,United States of America:2
Xylocopa californica arizonensis,Apidae,subspecies,Crataegus,,Rosaceae,1,0,1,0,1,0,interactsWith:1,Davis Mountains:1
Xylocopa californica arizonensis,Apidae,subspecies,Salix,willow,Salicaceae,1,0,1,0,1,0,interactsWith:1,Davis Mountains:1
Xylocopa micans,Apidae,species,Duranta,,Verbenaceae,1,1,1,1,0,0,visitsFlowersOf:1,
Xylocopa micans,Apidae,species,Ludwigia octovalvis,,Onagraceae,1,1,1,1,0,0,visitsFlowersOf:1,
Xylocopa micans,Apidae,species,Solanum elaeagnifolium,silverleaf nightshade,Solanaceae,2,2,2,0,2,0,interactsWith:2,
Xylocopa micans,Apidae,species,Verbena brasiliensis,,Verbenaceae,1,1,1,1,0,0,visitsFlowersOf:1,
Xylocopa micans,Apidae,species,Viguiera dentata,toothleaf goldeneye,Asteraceae,2,0,2,2,0,0,eats:1; visits:1,
Xylocopa tabaniformis,Apidae,species,Penstemon cobaea,,Plantaginaceae,1,0,1,1,0,0,visits:1,
Xylocopa tabaniformis parkinsoniae,Apidae,subspecies,Dalea frutescens,,Fabaceae,2,0,2,2,0,0,eats:1; visits:1,
Xylocopa tabaniformis parkinsoniae,Apidae,subspecies,Delphinium carolinianum,,Ranunculaceae,2,2,2,2,0,0,eats:1; visits:1,
Xylocopa tabaniformis parkinsoniae,Apidae,subspecies,Oncidium ensatum,,Orchidaceae,2,2,2,0,2,0,interactsWith:2,
Xylocopa tabaniformis parkinsoniae,Apidae,subspecies,Passiflora,,Passifloraceae,1,0,1,1,0,0,visitsFlowersOf:1,
Xylocopa tabaniformis parkinsoniae,Apidae,subspecies,Penstemon triflorus,,Plantaginaceae,1,0,1,1,0,0,visits:1,
Xylocopa tabaniformis parkinsoniae,Apidae,subspecies,Salvia farinacea,mealy blue sage,Lamiaceae,2,0,2,2,0,0,visits:1; eats:1,
Xylocopa virginica,Apidae,species,Argemone albiflora,white prickly poppy,Papaveraceae,1,0,1,1,0,0,eats:1,
Xylocopa virginica,Apidae,species,Asclepias asperula capricornu,,Apocynaceae,1,1,1,1,0,0,visitsFlowersOf:1,
Xylocopa virginica,Apidae,species,Cercis canadensis,,Fabaceae,1,1,1,0,1,0,interactsWith:1,
Xylocopa virginica,Apidae,species,Cirsium texanum,Texas thistle,Asteraceae,4,4,4,0,4,0,interactsWith:4,
Xylocopa virginica,Apidae,species,Gaillardia aestivalis,lanceleaf blanketflower,Asteraceae,1,0,1,1,0,0,eats:1,
Xylocopa virginica,Apidae,species,Monarda citriodora,lemon beebalm / lemon horsemint,Lamiaceae,3,2,3,0,3,0,interactsWith:3,
Xylocopa virginica,Apidae,species,Oncidium ensatum,,Orchidaceae,2,2,2,0,2,0,interactsWith:2,
Xylocopa virginica,Apidae,species,Ratibida columnifera,Mexican hat / upright prairie coneflower,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Xylocopa virginica,Apidae,species,Ruellia ciliatiflora,,Acanthaceae,1,1,1,1,0,0,visitsFlowersOf:1,
Xylocopa virginica,Apidae,species,Solanum elaeagnifolium,silverleaf nightshade,Solanaceae,8,8,8,0,8,0,interactsWith:8,
Xylocopa virginica texana,Apidae,subspecies,Baccharis,baccharis,Asteraceae,2,0,2,0,2,0,interactsWith:2,Leon Creek:2
Xylocopa virginica texana,Apidae,subspecies,Salvia farinacea,mealy blue sage,Lamiaceae,2,2,2,2,0,0,visits:1; eats:1,
Xylocopa virginica texana,Apidae,subspecies,Vitex,vitex / chaste tree group,Lamiaceae,1,1,1,0,1,0,interactsWith:1,"Georgetown, 5 mi S:1"
