id,sourceWorkbookRow,bee,family,rank,beeSide,interaction,interactionGroup,interactionMeaning,partner,partnerFamily,partnerGenus,partnerKingdom,plant,sourceBacked,locality,locationClass,localityScore,lat,lon,distanceMi,eventDate,basis,sourceShort,citation,sourceUrl,sourceArchiveURI,referenceDoi
237,2935,Apis mellifera,Apidae,species,target,preysOn,Predation,source taxon was recorded preying on target taxon; direction matters,Phidippus audax,Salticidae,Phidippus,,False,True,,≤25 mi from Kyle coordinate,4,30.2166166667,-97.6504666667,20.8,2020-01-31T20:51:30Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/22128689,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
238,2953,Halictus ligatus,Halictidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Pyrrhopappus,Asteraceae,Pyrrhopappus,,False,True,,≤50 mi from Kyle coordinate,3,30.5664527632,-97.6185870093,42.8,2019-04-09T02:19:53Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/22222226,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
239,2968,Apis mellifera,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Rubus flagellaris,Rosaceae,Rubus,,False,True,,≤50 mi from Kyle coordinate,3,30.560608972,-97.6200761422,42.4,2019-03-28T01:57:40Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/21685617,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
240,2985,Apis mellifera,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Rubus flagellaris,Rosaceae,Rubus,,False,True,,≤50 mi from Kyle coordinate,3,30.5621457743,-97.621216297,42.4,2019-03-19T01:46:06Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/21375287,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
241,2987,Apis mellifera,Apidae,species,source,eats,Feeding,bee was recorded feeding on or eating material from this partner,Asclepias asperula,Apocynaceae,Asclepias,,False,True,,≤150 mi from Kyle coordinate,1,31.3308222222,-97.4698694444,95.8,2023-08-12T02:15:48Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/159729592,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
242,3042,Apis mellifera,Apidae,species,source,interactsWith,Broad association,"broad association; useful lead, but weaker than a specific flower/eating/host term",Salvia,Lamiaceae,Salvia,,False,True,,≤150 mi from Kyle coordinate,1,29.4093713024,-98.4952283911,54.6,2019-11-10T05:09:03Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/21060181,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
243,3043,Apis mellifera,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Salvia,Lamiaceae,Salvia,,False,True,,≤150 mi from Kyle coordinate,1,29.4093713024,-98.4952283911,54.6,2019-03-08T19:57:43Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/21060181,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
244,3059,Xylocopa micans,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Duranta,Verbenaceae,Duranta,Plantae,True,True,,≤50 mi from Kyle coordinate,3,29.5727231532,-97.9835331169,29.5,2022-11-05T12:56:45Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/95579807,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
245,3090,Bombus sonorus,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Salvia pratensis,Lamiaceae,Salvia,,False,True,,≤50 mi from Kyle coordinate,3,29.5764778909,-98.4536931331,44.8,2024-02-05T19:52:52Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/95280787,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
246,3119,Apis mellifera,Apidae,species,source,interactsWith,Broad association,"broad association; useful lead, but weaker than a specific flower/eating/host term",Oenothera speciosa,Onagraceae,Oenothera,,False,True,,≤50 mi from Kyle coordinate,3,30.6155555556,-97.6593333333,45.2,2023-04-26T10:33:16Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/156712827,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
247,3120,Apis mellifera,Apidae,species,source,visits,Visit,bee was recorded visiting this partner; context may be broader than flowers,Oenothera speciosa,Onagraceae,Oenothera,,False,True,,≤50 mi from Kyle coordinate,3,30.6155555556,-97.6593333333,45.2,2023-04-26T10:33:31Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/156712827,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
248,3146,Bombus pensylvanicus,Apidae,species,source,eats,Feeding,bee was recorded feeding on or eating material from this partner,Gaillardia aestivalis,Asteraceae,Gaillardia,Plantae,True,True,,≤50 mi from Kyle coordinate,3,30.1510282456,-97.2975031053,36.4,2024-07-27T03:03:52Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/231943113,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
249,3190,Apis mellifera,Apidae,species,source,interactsWith,Broad association,"broad association; useful lead, but weaker than a specific flower/eating/host term",Marshallia caespitosa,Asteraceae,Marshallia,Plantae,True,True,,≤50 mi from Kyle coordinate,3,30.61455,-98.0616,44.6,2023-04-18T00:09:05Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/155369459,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
250,3191,Apis mellifera,Apidae,species,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Marshallia caespitosa,Asteraceae,Marshallia,Plantae,True,True,,≤50 mi from Kyle coordinate,3,30.61455,-98.0616,44.6,2023-04-18T00:01:57Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/155369459,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
251,3286,Agapostemon melliventris,Halictidae,species,source,interactsWith,Broad association,"broad association; useful lead, but weaker than a specific flower/eating/host term",Calyptocarpus vialis,Asteraceae,Calyptocarpus,,False,True,,≤50 mi from Kyle coordinate,3,29.4568902795,-98.2358391688,42.6,2018-12-03T17:59:34Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/18686149,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
252,3294,Xylocopa tabaniformis parkinsoniae,Apidae,subspecies,source,visitsFlowersOf,Flower visit / pollination lead,bee was recorded visiting flowers of this plant; usually strong plant-use evidence,Opuntia,Cactaceae,Opuntia,,False,True,,uncertain/outside local filter,0,29.6630740728,-101.316207323,207.4,2024-03-26T21:57:30Z,HumanObservation,globalbioticinteractions/inaturalist,https://www.inaturalist.org/observations/154911599,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,https://github.com/globalbioticinteractions/inaturalist/archive/535b4ba20f08ac1be2ad8c0244306108c434841f.zip,
