bee_name,bee_family,plant_name,plant_family
Perdita albipennis,Andrenidae,Grindelia,Asteraceae
Perdita albovittata,Andrenidae,Bahia,Asteraceae
Perdita alexi,Andrenidae,Helianthus,Asteraceae
Perdita ampla,Andrenidae,Chrysothamnus,Asteraceae
Perdita aperta,Andrenidae,Gutierrezia,Asteraceae
Perdita ashmeadi,Andrenidae,Prosopis,Fabaceae
Perdita asteris,Andrenidae,Baileya,Asteraceae
Perdita beata,Andrenidae,Bahia,Asteraceae
Perdita bequaerti,Andrenidae,Bidens,Asteraceae
Perdita bequaertiana,Andrenidae,Oenothera,
Perdita bishoppi,Andrenidae,Chrysopsis,Asteraceae
Perdita bruneri,Andrenidae,Grindelia,Asteraceae
Perdita callicerata,Andrenidae,Bahia,Asteraceae
Perdita cambarella,Andrenidae,Croptilon,Asteraceae
Perdita chrysophila,Andrenidae,Thelesperma,Asteraceae
Perdita cladothricis,Andrenidae,Tidestromia,
Perdita confusa,Andrenidae,Lepidium,Brassicaceae
Perdita coreopsidis,Andrenidae,Baileya,Asteraceae
Perdita crotonis,Andrenidae,Croton,
Perdita dalyi,Andrenidae,Helianthus,Asteraceae
Perdita difficilis,Andrenidae,Prosopis,Fabaceae
Perdita dolanensis,Andrenidae,Salvia,
Perdita exclamans,Andrenidae,Prosopis,Fabaceae
Perdita fallax,Andrenidae,Bahia,Asteraceae
Perdita foveata,Andrenidae,Coreopsis,Asteraceae
Perdita gerhardi,Andrenidae,Monarda,
Perdita gutierreziae,Andrenidae,Baileya,Asteraceae
Perdita halictoides,Andrenidae,Physalis,
Perdita heliotropii,Andrenidae,Heliotropium,
Perdita hippolyta,Andrenidae,Tiquilia,
Perdita hooki,Andrenidae,Tiquilia,
Perdita ignota,Andrenidae,Grindelia,Asteraceae
Perdita jonesi,Andrenidae,Monarda,
Perdita kiowi,Andrenidae,Mentzelia,
Perdita larreae,Andrenidae,Larrea,
Perdita lasiogastra,Andrenidae,Pectis,
